"chapter_id","scene_id","subsection","sequence","record_type","speaker","delivery_mode","text","background","environment","bgm","sfx","time_cue","direction","audio_direction"
"CH04","Scene01","山添の父の調査資料","1","direction","","","第四章　調査開始","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","BGM_CH3_YAMAZOE_REQUEST","","","章題を表示","BGM_CH3_YAMAZOE_REQUEST.mp3を開始"
"CH04","Scene01","山添の父の調査資料","2","direction","","","山添の依頼を受けてから数日後・午前","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","BGM_CH3_YAMAZOE_REQUEST","","","十分に読める長さで表示","継続"
"CH04","Scene01","山添の父の調査資料","3","narration","","","応接机の片側には、山添が運び込んだ資料の束が積まれていた。","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","BGM_CH3_YAMAZOE_REQUEST","","","机上の資料群を表示","継続"
"CH04","Scene01","山添の父の調査資料","4","narration","","","新聞の切り抜き、登記記録の写し、宿泊記録、手書きのメモ。紙の色も書式も揃っていない。","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","BGM_CH3_YAMAZOE_REQUEST","","","資料の違いを順に示す","継続"
"CH04","Scene01","山添の父の調査資料","5","dialogue","山添","","「父の部屋に残っていた、山荘関係のものです」","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","BGM_CH3_YAMAZOE_REQUEST","","","資料へ目を落とす","継続"
"CH04","Scene01","山添の父の調査資料","6","dialogue","菊池","","「全部、お父さまが集めたものですか」","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","BGM_CH3_YAMAZOE_REQUEST","","","束には触れず確認する","継続"
"CH04","Scene01","山添の父の調査資料","7","dialogue","山添","","「そうだと思います。ただ、いつ何のために残したのかまでは」","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","BGM_CH3_YAMAZOE_REQUEST","","","小さく首を振る","継続"
"CH04","Scene01","山添の父の調査資料","8","narration","","","山添の父自身の文字で書かれた紙にも、断定ではなく疑問符で終わる行がいくつもあった。","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","BGM_CH3_YAMAZOE_REQUEST","","","手書きメモへ寄る","継続"
"CH04","Scene01","山添の父の調査資料","9","dialogue","直人","","「同じ時期の資料じゃありませんね。印刷の仕方も、紙の傷み方も違います」","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","BGM_CH3_YAMAZOE_REQUEST","","","束の端を見比べる","継続"
"CH04","Scene01","山添の父の調査資料","10","dialogue","菊池","","「事実の記録と、聞いた話と、お父さまの考えを分けましょう」","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","BGM_CH3_YAMAZOE_REQUEST","","","三つに分ける手振り","継続"
