"chapter_id","scene_id","subsection","sequence","record_type","speaker","delivery_mode","text","background","environment","bgm","sfx","time_cue","direction","audio_direction"
"CH01","Scene01","今年も来た山荘","1","direction","","","第一章　夏の山荘","assets/images/backgrounds/山荘/BG_CH1_LODGE_EXTERIOR_SUMMER_DAY.png","ENV_CH1_MOUNTAIN_SUMMER_DAY","BGM_CH1_SUMMER_LODGE_FAMILY","","","章題を表示後、1.0秒で背景表示","明るい家族旅行のBGMを開始。蝉と遠い川音"
"CH01","Scene01","今年も来た山荘","2","narration","","","木々の間を抜けると、見慣れた屋根が夏の日差しの中に現れた。","assets/images/backgrounds/山荘/BG_CH1_LODGE_EXTERIOR_SUMMER_DAY.png","","","","","通常表示","継続"
"CH01","Scene01","今年も来た山荘","3","narration","","","かなこの夏休みに合わせて、この山荘へ来るのが家族の恒例になっている。","assets/images/backgrounds/山荘/BG_CH1_LODGE_EXTERIOR_SUMMER_DAY.png","","","","","通常表示","継続"
"CH01","Scene01","今年も来た山荘","4","narration","","","車が止まるより早く、後部座席のかなこが窓へ身を寄せた。短い髪が汗で額に張りついている。","assets/images/backgrounds/山荘/BG_CH1_LODGE_EXTERIOR_SUMMER_DAY.png","","","","","かなこを表示","継続"
"CH01","Scene01","今年も来た山荘","5","dialogue","かなこ","","「着いた！　ねえ、先に川を見てきていい？」","assets/images/backgrounds/山荘/BG_CH1_LODGE_EXTERIOR_SUMMER_DAY.png","","","","","期待した表情","継続"
"CH01","Scene01","今年も来た山荘","6","dialogue","かなえ","","「だめ。まず荷物を入れてから」","assets/images/backgrounds/山荘/BG_CH1_LODGE_EXTERIOR_SUMMER_DAY.png","","","","","穏やかに制止","継続"
"CH01","Scene01","今年も来た山荘","7","dialogue","かなこ","","「見るだけ。ほんとに、すぐ戻るから」","assets/images/backgrounds/山荘/BG_CH1_LODGE_EXTERIOR_SUMMER_DAY.png","","","","","食い下がる","継続"
"CH01","Scene01","今年も来た山荘","8","dialogue","かなえ","","「かなこの『見るだけ』は長いでしょう」","assets/images/backgrounds/山荘/BG_CH1_LODGE_EXTERIOR_SUMMER_DAY.png","","","","","苦笑","継続"
"CH01","Scene01","今年も来た山荘","9","dialogue","和彦","","「これを運んだら、三人で行こう。釣り竿も出すから」","assets/images/backgrounds/山荘/BG_CH1_LODGE_EXTERIOR_SUMMER_DAY.png","","","","","釣り道具を示す","継続"
"CH01","Scene01","今年も来た山荘","10","dialogue","かなこ","","「絶対だよ？」","assets/images/backgrounds/山荘/BG_CH1_LODGE_EXTERIOR_SUMMER_DAY.png","","","","","夫を見る","継続"
"CH01","Scene01","今年も来た山荘","11","dialogue","和彦","","「約束する」","assets/images/backgrounds/山荘/BG_CH1_LODGE_EXTERIOR_SUMMER_DAY.png","","","","","笑う","継続"
"CH01","Scene01","今年も来た山荘","12","narration","","","かなこはまだ川の方を気にしながらも、いちばん軽い鞄を抱えた。","assets/images/backgrounds/山荘/BG_CH1_LODGE_EXTERIOR_SUMMER_DAY.png","","","","","かなこを少し移動","継続"
"CH01","Scene01","今年も来た山荘","13","narration","","","夫は仕事用の上着を置いてきた日のような、肩の力の抜けた顔をしている。","assets/images/backgrounds/山荘/BG_CH1_LODGE_EXTERIOR_SUMMER_DAY.png","","","","","夫を表示","継続"
"CH01","Scene01","今年も来た山荘","14","dialogue","和彦","","「去年より道が空いてたな。早く着けてよかった」","assets/images/backgrounds/山荘/BG_CH1_LODGE_EXTERIOR_SUMMER_DAY.png","","","","","通常","継続"
"CH01","Scene01","今年も来た山荘","15","dialogue","かなえ","","「この分なら、明るいうちにゆっくり遊べそうね」","assets/images/backgrounds/山荘/BG_CH1_LODGE_EXTERIOR_SUMMER_DAY.png","","","","","通常","継続"
"CH01","Scene01","今年も来た山荘","16","narration","","","開けた玄関の向こうに、去年と同じ家具と窓辺の景色が見えた。","assets/images/backgrounds/山荘/BG_CH1_LODGE_EXTERIOR_SUMMER_DAY.png","","","","","山荘入口へ視線を寄せる","継続"
"CH01","Scene01","今年も来た山荘","17","dialogue","かなこ","","「ほら、早く。荷物、あとどれ？」","assets/images/backgrounds/山荘/BG_CH1_LODGE_EXTERIOR_SUMMER_DAY.png","","","","","玄関から振り返る","継続"
"CH01","Scene01","今年も来た山荘","18","narration","","","急かしている本人が先に荷物を運び始め、かなえと夫は顔を見合わせて笑った。","assets/images/backgrounds/山荘/BG_CH1_LODGE_EXTERIOR_SUMMER_DAY.png","","","","","3人表示","継続"
"CH01","Scene01","今年も来た山荘","19","direction","","","荷物を入れ終え、川遊びと釣りの支度を整える。","assets/images/backgrounds/山荘/BG_CH1_LODGE_EXTERIOR_SUMMER_DAY.png","","","","","短い時間経過後、通常遷移","BGMと環境音を継続"
"CH01","Scene02","いつもの川辺","1","direction","","","山荘から川へ続く道を三人で下る。","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","ENV_CH1_RIVERSIDE_SUMMER","BGM_CH1_SUMMER_LODGE_FAMILY","","","背景を0.8秒で切替","穏やかな川辺のBGMへ切替。川音を開始"
"CH01","Scene02","いつもの川辺","2","narration","","","かなこは道順を覚えていると言わんばかりに、数歩先を歩いていく。","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","かなこを前方に表示","継続"
"CH01","Scene02","いつもの川辺","3","dialogue","かなえ","","「先に行きすぎないで。曲がり角では待っててね」","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","呼びかける","継続"
"CH01","Scene02","いつもの川辺","4","dialogue","かなこ","","「分かってる。去年も来たもん」","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","振り返って答える","継続"
"CH01","Scene02","いつもの川辺","5","dialogue","和彦","","「去年はそこで道を間違えかけなかったか？」","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","軽くからかう","継続"
"CH01","Scene02","いつもの川辺","6","dialogue","かなこ","","「あれは、別の道も見たかっただけ」","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","むっとする","継続"
"CH01","Scene02","いつもの川辺","7","narration","","","川辺へ出ると、陽を反した水が石の間を細く走っていた。","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","川面を明るく見せる","川音を少し前へ"
"CH01","Scene02","いつもの川辺","8","dialogue","かなこ","","「冷たい！」","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","浅瀬でしゃがむ","継続"
"CH01","Scene02","いつもの川辺","9","dialogue","かなえ","","「最初はそこまで。流れの弱いところから出ないこと」","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","浅瀬の範囲を示す","継続"
"CH01","Scene02","いつもの川辺","10","dialogue","かなこ","","「はいはい」","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","水面へ視線を戻す","継続"
"CH01","Scene02","いつもの川辺","11","dialogue","かなえ","","「返事は一回」","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","苦笑","継続"
"CH01","Scene02","いつもの川辺","12","dialogue","かなこ","","「はーい」","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","笑って答える","継続"
"CH01","Scene02","いつもの川辺","13","narration","","","夫は二人と声を交わせる距離に腰を下ろし、釣り竿を組み立て始めた。","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","夫を少し離して表示","継続"
"CH01","Scene02","いつもの川辺","14","dialogue","和彦","","「今年こそ、かなこに大きいところを見せたいな」","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","釣り竿を確かめる","継続"
"CH01","Scene02","いつもの川辺","15","dialogue","かなこ","","「去年も同じこと言ってたよ」","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","すぐに返す","継続"
"CH01","Scene02","いつもの川辺","16","dialogue","かなえ","","「去年は、かなこが見てない時に一匹釣れたのよね」","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","夫を見る","継続"
"CH01","Scene02","いつもの川辺","17","dialogue","和彦","","「あれはタイミングが悪かっただけだ」","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","笑う","継続"
"CH01","Scene02","いつもの川辺","18","narration","","","いつもの言い合いに、かなこの笑い声が重なる。ここは今年も、家族の夏の遊び場所だった。","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","3人を明るく表示","BGMを維持"
"CH01","Scene02","いつもの川辺","19","narration","","","かなこは川底をのぞき込み、浅瀬の少し先にある平たい石へ目を留めた。","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","視線を浅瀬の先へ誘導","継続"
"CH01","Scene02","いつもの川辺","20","dialogue","かなこ","","「あそこ、きれいな石がある」","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","一歩前へ出ようとする","継続"
"CH01","Scene03","危ない一歩","1","narration","","","かなこが足を向けた先では、濡れた石の横を、手前より速い水が流れている。","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","ENV_CH1_RIVERSIDE_SUMMER","BGM_CH1_SUMMER_LODGE_FAMILY","","","足元へ視線を寄せる","川辺のBGMと川音を継続"
"CH01","Scene03","危ない一歩","2","dialogue","かなえ","","「かなこ、止まって」","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","強い声で制止","BGMの音量を少し下げる"
"CH01","Scene03","危ない一歩","3","narration","","","かなこは片足を戻したが、石から目を離さなかった。","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","かなこを停止","継続"
"CH01","Scene03","危ない一歩","4","dialogue","かなこ","","「でも、すぐそこだよ」","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","不満を見せる","継続"
"CH01","Scene03","危ない一歩","5","dialogue","かなえ","","「その石、濡れてるでしょう。そこから先は流れも速いの」","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","石と流れを示す","継続"
"CH01","Scene03","危ない一歩","6","dialogue","かなこ","","「去年はあっちまで行けたもん」","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","食い下がる","継続"
"CH01","Scene03","危ない一歩","7","dialogue","かなえ","","「去年と今日で、川は同じじゃない。滑ったら、お母さんでも追いつけないよ」","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","かなこの目を見て伝える","継続"
"CH01","Scene03","危ない一歩","8","narration","","","かなこの口が尖る。けれど、かなえが差し出した手の届くところまで戻ってきた。","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","かなこをかなえの近くへ","継続"
"CH01","Scene03","危ない一歩","9","dialogue","かなこ","","「……取れそうだったのに」","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","小さくこぼす","継続"
"CH01","Scene03","危ない一歩","10","narration","","","かなえは濡れた足元を確かめ、どこも傷めていないことに息をついた。","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","かなえの表情を和らげる","BGMを元の音量へ戻す"
"CH01","Scene03","危ない一歩","11","dialogue","かなえ","","「取りたい気持ちは分かる。でも、危ない場所へ一人で行くのはだめ」","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","穏やかに言い直す","継続"
"CH01","Scene03","危ない一歩","12","dialogue","かなこ","","「じゃあ、お母さんとなら？」","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","すぐに聞き返す","継続"
"CH01","Scene03","危ない一歩","13","dialogue","かなえ","","「今日はここまで。安全なところで、別のきれいな石を探そう」","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","浅瀬側を示す","継続"
"CH01","Scene03","危ない一歩","14","dialogue","和彦","","「その前に、魚を見つける係を頼んでもいいか？」","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","釣り竿を持って近づく","継続"
"CH01","Scene03","危ない一歩","15","dialogue","かなこ","","「魚？　どこ？」","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","夫へ向き直る","継続"
"CH01","Scene03","危ない一歩","16","dialogue","和彦","","「まだ見つかってない。だから、かなこの目を借りたい」","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","安全な浅瀬を示す","継続"
"CH01","Scene03","危ない一歩","17","dialogue","かなこ","","「しょうがないなあ。大きいの見つけるからね」","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","気持ちを切り替える","継続"
"CH01","Scene03","危ない一歩","18","narration","","","かなこは今度はかなえのそばを離れず、水面へ目を凝らした。","assets/images/backgrounds/川辺/BG_CH1_RIVERSIDE_FAMILY_DAY.png","","","","","親子を近くに表示","穏やかな川辺の音を維持"
