"chapter_id","scene_id","subsection","sequence","record_type","speaker","delivery_mode","text","background","environment","bgm","sfx","time_cue","direction","audio_direction"
"CH03","Scene01","証拠の重さ","1","direction","","","第三章　探偵と助手","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","BGM_CH3_DETECTIVE_OFFICE","","","章題を表示","抑制された日常BGMを開始。遠い車音と空調音"
"CH03","Scene01","証拠の重さ","2","direction","","","数週間前","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","","","","十分に読める長さで表示後、1.0秒で場面表示","継続"
"CH03","Scene01","証拠の重さ","3","narration","","","傾いた日差しが、応接机の報告書を細く照らしていた。","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","","","","菊池と応接机を表示","継続"
"CH03","Scene01","証拠の重さ","4","dialogue","菊池","","「確認できたのは、ここに記載した日時と行動までです」","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","","","","報告書の該当箇所を示す","継続"
"CH03","Scene01","証拠の重さ","5","dialogue","依頼人","","「でも、同じ相手と会っていたんでしょう。なら、私が疑ったとおりじゃないんですか」","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","","","","画面外または後ろ姿","継続"
"CH03","Scene01","証拠の重さ","6","dialogue","菊池","","「そう考えたくなるお気持ちは分かります」","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","","","","相手を見て穏やかに答える","継続"
"CH03","Scene01","証拠の重さ","7","dialogue","菊池","","「ただ、会っていた理由までは確認できていません。疑いと確認事実を同じ欄には書けません」","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","","","","報告書へ視線を戻す","継続"
"CH03","Scene01","証拠の重さ","8","dialogue","依頼人","","「はっきりしないんですね」","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","","","","不満を残す","継続"
"CH03","Scene01","証拠の重さ","9","dialogue","菊池","","「決して安くない費用をいただいています。だから、はっきりしない部分を、はっきりしたようにはお渡しできません」","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","","","","声を荒らげずに線引きする","継続"
"CH03","Scene01","証拠の重さ","10","narration","","","菊池は、確認済みの時刻と場所をもう一度、短く説明した。","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","","","","報告書の確認済み部分を示す","継続"
"CH03","Scene01","証拠の重さ","11","dialogue","菊池","","「追加の確認をご希望でしたら、範囲と費用を改めてお話しします。今日は、この結果をお持ち帰りください」","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","","","","報告書を差し出す","継続"
"CH03","Scene01","証拠の重さ","12","narration","","","依頼人はしばらく黙ってから報告書を受け取り、事務所を出ていった。","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","","","","依頼人を退場","BGMの音数を少し減らす"
"CH03","Scene01","証拠の重さ","13","narration","","","菊池は扉が閉まるのを待ち、控えの記録を開き直した。","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","","","","菊池だけを表示","継続"
"CH03","Scene01","証拠の重さ","14","narration","","","対象が正面から姿を消した時刻と、別の出入口へ現れた時刻。その間だけ、記録が途切れている。","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","","","","二つの時刻欄を示す","継続"
"CH03","Scene01","証拠の重さ","15","narration","","","一人で二方向を同時に見張ることはできなかった。","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","","","","菊池が空白欄を見る","継続"
"CH03","Scene01","証拠の重さ","16","narration","","","事務と連絡を支える女性スタッフはいる。しかし、現場の観察を分担できる人員ではない。","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","","","","無人の補助机を短く示す","継続"
"CH03","Scene01","証拠の重さ","17","dialogue","菊池","","「もう一人いれば、とは思いますが……」","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","","","","小さく息をつく","継続"
"CH03","Scene01","証拠の重さ","18","narration","","","人数を増やせば埋まる空白ではない。見た事実と推測を分け、任せた範囲を守れる相手でなければ、記録そのものが危うくなる。","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","","","","菊池が報告書を整える","継続"
"CH03","Scene01","証拠の重さ","19","dialogue","菊池","","「誰でもいい、というわけにはいきませんね」","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","","","","報告書を閉じる","継続"
"CH03","Scene01","証拠の重さ","20","narration","","","菊池は考えをそこで止め、外出用の鞄を手に取った。","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","","","","席を立つ","日常BGMを戻す"
"CH03","Scene01","証拠の重さ","21","direction","","","菊池が事務所を出る。","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_INTERIOR_DAY.png","","","","","建物入口へ通常遷移","街の環境音を少し前へ"
"CH03","Scene02","落ちたメモ","1","narration","","","菊池が建物を出た時、角の向こうから一人の男が足早に戻ってきた。","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_EXTERIOR_DAY.png","","","","","建物入口を表示","日常BGM。夕方の交通音"
"CH03","Scene02","落ちたメモ","2","narration","","","男の視線は手元のメモと腕時計を行き来し、前へ戻るのが一瞬遅れた。","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_EXTERIOR_DAY.png","","","","","直人を表示","継続"
"CH03","Scene02","落ちたメモ","3","narration","","","二人の肩が軽く触れ、直人の書類とペンが足元へ散った。","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_EXTERIOR_DAY.png","","","","","二人が足を止める","継続"
"CH03","Scene02","落ちたメモ","4","dialogue","直人","","「すみません。前を見ていませんでした」","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_EXTERIOR_DAY.png","","","","","すぐに頭を下げる","継続"
"CH03","Scene02","落ちたメモ","5","dialogue","菊池","","「けがはありませんか」","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_EXTERIOR_DAY.png","","","","","書類を拾う","継続"
"CH03","Scene02","落ちたメモ","6","dialogue","直人","","「はい。大丈夫です」","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_EXTERIOR_DAY.png","","","","","しゃがんで紙を集める","継続"
"CH03","Scene02","落ちたメモ","7","narration","","","拾い上げた一枚には、分刻みの時刻、服装、持ち物、立ち寄り先、滞在時間が細かな字で並んでいた。","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_EXTERIOR_DAY.png","","","","","メモの断片だけを短く示す","継続"
"CH03","Scene02","落ちたメモ","8","narration","","","末尾には、前回と違う点まで簡潔に書き添えられている。","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_EXTERIOR_DAY.png","","","","","「前回との差」の欄を示す","継続"
"CH03","Scene02","落ちたメモ","9","dialogue","菊池","","「順番は、こちらで合っていますか」","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_EXTERIOR_DAY.png","","","","","拾った紙を差し出す","継続"
"CH03","Scene02","落ちたメモ","10","dialogue","直人","","「……三枚目ですね。ありがとうございます」","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_EXTERIOR_DAY.png","","","","","紙の並びを素早く確かめる","継続"
"CH03","Scene02","落ちたメモ","11","narration","","","直人は内容を隠すより先に、記録の順番と時刻の抜けがないかを見ていた。","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_EXTERIOR_DAY.png","","","","","直人の手元を示す","継続"
"CH03","Scene02","落ちたメモ","12","dialogue","菊池","","「仕事の記録ですか」","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_EXTERIOR_DAY.png","","","","","距離を保って尋ねる","継続"
"CH03","Scene02","落ちたメモ","13","dialogue","直人","","「便利屋に来た依頼です。指定された時間に、ある人がどこへ寄るかを見るだけの」","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_EXTERIOR_DAY.png","","","","","書類を揃える","継続"
"CH03","Scene02","落ちたメモ","14","dialogue","菊池","","「ずいぶん細かく記録するんですね」","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_EXTERIOR_DAY.png","","","","","メモへ短く視線を向ける","継続"
"CH03","Scene02","落ちたメモ","15","dialogue","直人","","「後で聞かれることが多いので。あ、もう戻らないと」","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_EXTERIOR_DAY.png","","","","","腕時計を見る","継続"
"CH03","Scene02","落ちたメモ","16","dialogue","菊池","","「観察中でしたか」","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_EXTERIOR_DAY.png","","","","","通りの先を見る","継続"
"CH03","Scene02","落ちたメモ","17","dialogue","直人","","「対象が動きそうな時間なんです。本当に、すみませんでした」","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_EXTERIOR_DAY.png","","","","","もう一度頭を下げる","継続"
"CH03","Scene02","落ちたメモ","18","narration","","","直人は書類を抱え直すと、事務所から数分先の通りへ急いだ。","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_EXTERIOR_DAY.png","","","","","直人が先へ移動","街音を少し前へ"
"CH03","Scene02","落ちたメモ","19","narration","","","菊池はその背を見送った。細かな記録だけで、調査員として使えるとは決められない。","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_EXTERIOR_DAY.png","","","","","菊池を表示","継続"
"CH03","Scene02","落ちたメモ","20","narration","","","それでも、メモの密度と、順序を即座に確かめた手つきが気にかかった。","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_EXTERIOR_DAY.png","","","","","菊池が少し考える","継続"
"CH03","Scene02","落ちたメモ","21","narration","","","菊池は予定どおり外出先へ向かった。直人が急いだ通りは、その道の途中にあった。","assets/images/backgrounds/BG_CH3_KIKUCHI_DETECTIVE_OFFICE_EXTERIOR_DAY.png","","","","","通りへ通常遷移","BGMに控えめなリズムを加える"
"CH03","Scene03","書いていない記録","1","narration","","","直人は、ホテルの出口と通り向かいのコンビニを見渡せる位置で足を止めた。","assets/images/backgrounds/BG_CH3_HOTEL_CONVENIENCE_EVENING.png","","BGM_CH3_OBSERVATION","","","直人を歩道脇に表示","控えめな観察BGM。街の生活音"
"CH03","Scene03","書いていない記録","2","narration","","","メモを開く前に、腕時計を見ながら小声で時刻を確かめる。","assets/images/backgrounds/BG_CH3_HOTEL_CONVENIENCE_EVENING.png","","","","","直人の手元を示す","継続"
