"chapter_id","scene_id","subsection","sequence","record_type","speaker","delivery_mode","text","background","environment","bgm","sfx","time_cue","direction","audio_direction"
"CH02","Scene01","家に帰る","1","direction","","","第二章　帰ってきた便箋","自宅玄関・夕方","","","","","章題を表示後、1.0秒で背景表示","帰宅後の穏やかなBGMを開始。遠い住宅地の音"
"CH02","Scene01","家に帰る","2","narration","","","玄関の扉を開けると、見慣れた靴と、朝のままにしていた郵便物が目に入った。","自宅玄関・夕方","","","","","自宅玄関を表示","継続"
"CH02","Scene01","家に帰る","3","narration","","","山の匂いが残る荷物を運び込むうちに、家へ帰ってきたという実感が戻ってくる。","自宅玄関・夕方","","","","","3人と荷物を表示","継続"
"CH02","Scene01","家に帰る","4","dialogue","かなこ","","「ただいま。やっぱり家、ちょっと暑い」","自宅玄関・夕方","","","","","靴を脱ぎながら室内を見回す","継続"
"CH02","Scene01","家に帰る","5","dialogue","かなえ","","「窓を開けるから、先に荷物を置いてきて」","自宅玄関・夕方","","","","","荷物を示す","継続"
"CH02","Scene01","家に帰る","6","dialogue","かなこ","","「石だけ出していい？　割れてないか見たい」","自宅玄関・夕方","","","","","小さな袋を抱える","継続"
"CH02","Scene01","家に帰る","7","dialogue","かなえ","","「荷物を部屋へ持っていってからね」","自宅玄関・夕方","","","","","穏やかに順番を示す","継続"
"CH02","Scene01","家に帰る","8","dialogue","かなこ","","「見るだけなのに」","自宅玄関・夕方","","","","","少し不満そうにする","継続"
"CH02","Scene01","家に帰る","9","dialogue","和彦","","「部屋で見ればいいだろう。写真も一緒に整理できるぞ」","自宅玄関・夕方","","","","","釣り道具を持ち直す","継続"
"CH02","Scene01","家に帰る","10","dialogue","かなこ","","「じゃあ、写真はあとで三人で選んでね」","自宅玄関・夕方","","","","","念を押す","継続"
"CH02","Scene01","家に帰る","11","dialogue","かなえ","","「片づいたらね」","自宅玄関・夕方","","","","","笑って答える","継続"
"CH02","Scene01","家に帰る","12","narration","","","かなこは返事の代わりに荷物を抱え直し、自分の部屋へ向かった。","自宅玄関・夕方","","","","","かなこを退場","継続"
"CH02","Scene01","家に帰る","13","narration","","","かなえは洗濯物を分け、和彦は釣り道具と旅行鞄をいつもの収納へ運ぶ。","自宅リビング・夕方","","","","","リビングへ切替","継続"
"CH02","Scene01","家に帰る","14","dialogue","和彦","","「運転してる時は平気だったけど、降りたら急に疲れたな」","自宅リビング・夕方","","","","","肩を回す","継続"
"CH02","Scene01","家に帰る","15","dialogue","かなえ","","「お疲れさま。冷たいもの、あとで出すね」","自宅リビング・夕方","","","","","洗濯物をまとめる","継続"
"CH02","Scene01","家に帰る","16","dialogue","和彦","","「先にこれだけ片づけるよ」","自宅リビング・夕方","","","","","旅行鞄を持ち上げる","継続"
"CH02","Scene01","家に帰る","17","narration","","","リビング脇には、旅行へ持っていかなかった和彦の仕事用鞄が、出発前と同じ場所に置かれていた。","自宅リビング・夕方","","","","","旅行鞄と仕事用鞄を別に示す","継続"
"CH02","Scene01","家に帰る","18","narration","","","山荘での一日は、もう夏休みの思い出へ変わり始めていた。","自宅リビング・夕方","","","","","かなえを中心に表示","BGMを穏やかに維持"
"CH02","Scene01","家に帰る","19","direction","","","荷ほどきが進み、かなこは自分の部屋へ、かなえは洗濯物の片づけへ移る。","自宅リビング・夕方","","","","","短い時間経過","継続"
"CH02","Scene01","家に帰る","20","narration","","","和彦は旅行中に使った充電器をしまおうと、仕事用鞄のそばへ歩いた。","自宅リビング・夕方","","","","","仕事用鞄付近へ視線を寄せる","音量をわずかに下げる"
"CH02","Scene02","鞄のそばの便箋","1","narration","","","和彦が仕事用鞄を持ち上げようとして、伸ばした手を止めた。","リビング脇・夕方","","","","","和彦を中心に表示","Scene01のBGMと環境音を継続"
"CH02","Scene02","鞄のそばの便箋","2","narration","","","鞄の脇に、黄ばんだ紙が数枚、きれいに重なっている。","リビング脇・夕方","","","","","鞄のそばへ視線を寄せる","BGMの音数を少し減らす"
"CH02","Scene02","鞄のそばの便箋","3","dialogue","和彦","","「……あれ」","リビング脇・夕方","","","","","小さく漏らす","継続"
"CH02","Scene02","鞄のそばの便箋","4","narration","","","上の端に折れがあり、角は少し傷んでいた。山荘の引き出しで見た便箋によく似ている。","リビング脇・夕方","","","","","古い紙を通常表示。異常演出なし","継続"
"CH02","Scene02","鞄のそばの便箋","5","narration","","","和彦は便箋を手に取り、旅行鞄と仕事用鞄を交互に見た。","リビング脇・夕方","","","","","和彦が便箋を持つ","継続"
"CH02","Scene02","鞄のそばの便箋","6","dialogue","和彦","","「かなえ、ちょっと来てくれないか」","リビング脇・夕方","","","","","リビングへ呼びかける","継続"
"CH02","Scene02","鞄のそばの便箋","7","dialogue","かなえ","","「どうしたの？」","リビング脇・夕方","","","","","洗濯物を置いて近づく","継続"
"CH02","Scene02","鞄のそばの便箋","8","dialogue","和彦","","「これ、ここにあったんだけど」","リビング脇・夕方","","","","","便箋を見える位置に持つ","継続"
"CH02","Scene02","鞄のそばの便箋","9","narration","","","かなえは受け取らず、和彦の手元をのぞき込んだ。","リビング脇・夕方","","","","","かなえは便箋に触れない","継続"
"CH02","Scene02","鞄のそばの便箋","10","dialogue","かなえ","","「それ……山荘の引き出しにあったものじゃない？」","リビング脇・夕方","","","","","紙の折れへ目を向ける","継続"
"CH02","Scene02","鞄のそばの便箋","11","dialogue","和彦","","「俺もそう見える」","リビング脇・夕方","","","","","紙を確かめる","継続"
"CH02","Scene02","鞄のそばの便箋","12","dialogue","かなえ","","「持って帰ってきたの？」","リビング脇・夕方","","","","","旅行鞄を見る","継続"
"CH02","Scene02","鞄のそばの便箋","13","dialogue","和彦","","「いや。引き出しの奥へ戻したよ」","リビング脇・夕方","","","","","すぐに答える","継続"
"CH02","Scene02","鞄のそばの便箋","14","dialogue","かなえ","","「片づけてる時に、鞄へ入れたとか」","リビング脇・夕方","","","","","可能性を探る","継続"
"CH02","Scene02","鞄のそばの便箋","15","dialogue","和彦","","「入れてない。そもそも、この鞄は家に置いたままだ」","リビング脇・夕方","","","","","仕事用鞄を示す","継続"
"CH02","Scene02","鞄のそばの便箋","16","narration","","","出発前から動かしていない仕事用鞄のそばに、古い便箋だけが置かれている。","リビング脇・夕方","","","","","鞄と便箋を同じ画面に示す","継続"
"CH02","Scene02","鞄のそばの便箋","17","dialogue","かなこ","","「二人で何見てるの？」","リビング脇・夕方","","","","","部屋から戻ってくる","継続"
"CH02","Scene02","鞄のそばの便箋","18","dialogue","かなえ","","「山荘にあった古い紙に、よく似てるの」","リビング脇・夕方","","","","","かなこへ説明する","継続"
"CH02","Scene02","鞄のそばの便箋","19","dialogue","かなこ","","「見せて」","リビング脇・夕方","","","","","一歩近づく","継続"
"CH02","Scene02","鞄のそばの便箋","20","dialogue","かなえ","","「待って。古いものだから、今はお父さんに持っててもらおう」","リビング脇・夕方","","","","","穏やかに止める","継続"
"CH02","Scene02","鞄のそばの便箋","21","dialogue","かなこ","","「お父さんが持ってきたんじゃないの？」","リビング脇・夕方","","","","","和彦を見る","継続"
"CH02","Scene02","鞄のそばの便箋","22","dialogue","和彦","","「そのつもりはないんだけどな」","リビング脇・夕方","","","","","言い切れずに答える","継続"
"CH02","Scene02","鞄のそばの便箋","23","narration","","","和彦の声には、自分の記憶を確かめ直すような間があった。","リビング脇・夕方","","","","","短い間","継続"
"CH02","Scene02","鞄のそばの便箋","24","dialogue","かなえ","","「荷物、もう一度見てみようか」","リビング脇・夕方","","","","","旅行鞄へ向く","継続"
"CH02","Scene02","鞄のそばの便箋","25","direction","","","三人は便箋を和彦の手元に置いたまま、旅行鞄をリビングへ集める。","自宅リビング・夜の初め","","","","","リビング中央へ通常遷移","静かな違和感のBGMを継続"
"CH02","Scene03","三人の記憶","1","narration","","","リビングの床に旅行鞄を開き、三人は持ち帰った物を順に確かめた。","自宅リビング・夜","","","","","開いた旅行鞄を表示","考え込む静かなBGM。室内音を中心にする"
"CH02","Scene03","三人の記憶","2","dialogue","かなえ","","「これは着替え。こっちは洗面道具」","自宅リビング・夜","","","","","荷物を分ける","継続"
"CH02","Scene03","三人の記憶","3","dialogue","和彦","","「釣り道具の袋にも入ってない」","自宅リビング・夜","","","","","袋の中を確認する","継続"
"CH02","Scene03","三人の記憶","4","narration","","","鞄の底や衣類の間にも、同じような紙は見つからなかった。","自宅リビング・夜","","","","","荷物確認を短く示す","継続"
"CH02","Scene03","三人の記憶","5","dialogue","かなえ","","「山荘で見つけた時、どうしたか覚えてる？」","自宅リビング・夜","","","","","和彦を見る","継続"
"CH02","Scene03","三人の記憶","6","dialogue","和彦","","「引き出しから出して、君に見せた」","自宅リビング・夜","","","","","記憶をたどる","継続"
"CH02","Scene03","三人の記憶","7","dialogue","かなえ","","「私は受け取ってないよ」","自宅リビング・夜","","","","","静かに確認する","継続"
"CH02","Scene03","三人の記憶","8","dialogue","和彦","","「うん。手に取っただけで、何も書いてない。君に言われて、そのまま奥へ戻した」","自宅リビング・夜","","","","","順番を思い返す","継続"
"CH02","Scene03","三人の記憶","9","narration","","","かなえにも、和彦が便箋を引き出しへ戻した姿の記憶がある。","自宅リビング・夜","","","","","かなえを中心に表示","継続"
"CH02","Scene03","三人の記憶","10","dialogue","かなえ","","「朝も、引き出しは閉じたままだったよね」","自宅リビング・夜","","","","","確かめる","継続"
"CH02","Scene03","三人の記憶","11","dialogue","和彦","","「見回した時に確認した。持って出た覚えはないよ」","自宅リビング・夜","","","","","うなずく","継続"
"CH02","Scene03","三人の記憶","12","dialogue","かなこ","","「私じゃないからね」","自宅リビング・夜","","","","","先回りして言う","継続"
"CH02","Scene03","三人の記憶","13","dialogue","かなえ","","「かなこが持ってきたって決めてるわけじゃないよ」","自宅リビング・夜","","","","","声を和らげる","継続"
"CH02","Scene03","三人の記憶","14","dialogue","かなこ","","「だって、さっきから誰が入れたって話してる」","自宅リビング・夜","","","","","むっとする","継続"
"CH02","Scene03","三人の記憶","15","dialogue","かなえ","","「みんなの覚えてることを合わせてるだけ。かなこは、あの紙に近づいてないでしょう？」","自宅リビング・夜","","","","","責めずに尋ねる","継続"
"CH02","Scene03","三人の記憶","16","dialogue","かなこ","","「うん。見ただけ。触ってない」","自宅リビング・夜","","","","","はっきり答える","継続"
"CH02","Scene03","三人の記憶","17","dialogue","和彦","","「分かった。かなこを疑ってるんじゃないよ」","自宅リビング・夜","","","","","かなこへ向き直る","継続"
"CH02","Scene03","三人の記憶","18","narration","","","かなこはまだ少し口を尖らせていたが、広げていた写真を拾い上げた。","自宅リビング・夜","","","","","かなこの表情を和らげる","継続"
"CH02","Scene03","三人の記憶","19","dialogue","和彦","","「俺が考え事をしながら、鞄へ入れたのかな」","自宅リビング・夜","","","","","自分の記憶を疑う","継続"
"CH02","Scene03","三人の記憶","20","dialogue","かなえ","","「何かの間に挟まってきた可能性もあるかも」","自宅リビング・夜","","","","","衣類を見る","継続"
"CH02","Scene03","三人の記憶","21","dialogue","和彦","","「山荘のものとは別の、似た紙ってこともある」","自宅リビング・夜","","","","","便箋を見直す","継続"
"CH02","Scene03","三人の記憶","22","dialogue","かなえ","","「そうね。今のままじゃ、どれも確かめようがないね」","自宅リビング・夜","","","","","小さく息をつく","継続"
"CH02","Scene03","三人の記憶","23","narration","","","誰かが嘘をついている様子はない。それでも、便箋がここにある理由は残った。","自宅リビング・夜","","","","","3人を表示","BGMの音量を少し控える"
"CH02","Scene03","三人の記憶","24","dialogue","かなえ","","「持ち主も分からない古い紙だし、家に置いておくこともないでしょう。捨てようか」","自宅リビング・夜","","","","","現実的に提案する","継続"
"CH02","Scene03","三人の記憶","25","dialogue","和彦","","「そうだな。それでいいと思う」","自宅リビング・夜","","","","","同意する","継続"
"CH02","Scene03","三人の記憶","26","narration","","","和彦は台所から透明な小袋を持ってきて、便箋を中へ入れた。","自宅リビング・夜","","","","","和彦が便箋を袋へ収める","継続"
"CH02","Scene03","三人の記憶","27","narration","","","袋の口を閉じた後、かなえは袋ごと玄関脇のごみ置きへ移した。","自宅リビング・夜","","","","","かなえは閉じた袋を持つ","継続"
"CH02","Scene03","三人の記憶","28","dialogue","かなえ","","「明日の朝、ほかのごみと一緒に出しておくね」","自宅リビング・夜","","","","","ごみ置きへ目を向ける","継続"
"CH02","Scene03","三人の記憶","29","direction","","","荷物を片づけ終え、家族はそれぞれ休む。便箋の入った袋は玄関脇に残る。","自宅リビング・夜","","","","","穏やかに暗転","BGMを自然にフェード"
"CH02","Scene04","ごみの日","1","direction","","","翌朝。いつもの時刻に目覚ましが鳴り、家族の朝が始まる。","自宅リビング・朝","","","","","明るい画面へフェード","日常の朝のBGM。夏の蝉と遠い車"
"CH02","Scene04","ごみの日","2","narration","","","かなえは朝食の片づけを終えると、玄関脇のごみをまとめた。","自宅リビング・朝","","","","","かなえを表示","継続"
"CH02","Scene04","ごみの日","3","narration","","","透明な小袋の中には、昨夜の便箋が重なったまま入っている。","自宅リビング・朝","","","","","袋越しに便箋を短く示す","BGMを変えない"
"CH02","Scene04","ごみの日","4","dialogue","和彦","","「それ、今日出すのか」","自宅リビング・朝","","","","","出勤の支度をしながら見る","継続"
"CH02","Scene04","ごみの日","5","dialogue","かなえ","","「うん。可燃ごみの日だから」","自宅リビング・朝","","","","","ほかのごみとまとめる","継続"
"CH02","Scene04","ごみの日","6","dialogue","和彦","","「結局、どこかで荷物に紛れたんだろうな」","自宅リビング・朝","","","","","自分に言い聞かせるように話す","継続"
"CH02","Scene04","ごみの日","7","dialogue","かなえ","","「そうかもね。古い紙一枚で、考えすぎたかな」","自宅リビング・朝","","","","","同意して袋を持つ","継続"
"CH02","Scene04","ごみの日","8","dialogue","かなこ","","「写真、今日選ぶんだよね？」","自宅リビング・朝","","","","","宿題道具を抱える","継続"
"CH02","Scene04","ごみの日","9","dialogue","かなえ","","「宿題が進んだらね」","自宅リビング・朝","","","","","かなこを見る","継続"
"CH02","Scene04","ごみの日","10","dialogue","かなこ","","「先に写真を選んじゃえば、宿題も進むと思う」","自宅リビング・朝","","","","","真面目な顔で主張する","継続"
"CH02","Scene04","ごみの日","11","dialogue","和彦","","「その考え方、会社でも使ってみたいな」","自宅リビング・朝","","","","","笑う","継続"
"CH02","Scene04","ごみの日","12","dialogue","かなこ","","「使っていいよ」","自宅リビング・朝","","","","","得意そうに答える","継続"
"CH02","Scene04","ごみの日","13","narration","","","かなえは笑いながらごみを持ち、家を出た。","自宅玄関前・朝","","","","","玄関前へ切替","朝の環境音を少し前へ"
"CH02","Scene04","ごみの日","14","narration","","","便箋の入った小袋は、ほかの生活ごみと一緒に集積所へ置かれた。","ごみ集積所・朝","","","","","ごみ集積所を通常表示","継続"
"CH02","Scene04","ごみの日","15","narration","","","特別なことは何も起こらない。かなえは家へ戻り、和彦を送り出した。","自宅リビング・朝","","","","","自宅リビングへ戻す","日常のBGMを継続"
"CH02","Scene04","ごみの日","16","dialogue","和彦","","「行ってきます」","自宅リビング・朝","","","","","玄関へ向かう","継続"
"CH02","Scene04","ごみの日","17","dialogue","かなえ","","「行ってらっしゃい」","自宅リビング・朝","","","","","見送る","継続"
"CH02","Scene04","ごみの日","18","direction","","","午前の家事が進み、ごみの収集時刻を過ぎる。","自宅リビング・朝","","","","","短い時間経過","BGMを薄くする"
"CH02","Scene04","ごみの日","19","narration","","","かなえが外へ出た時、集積所は空になっていた。いつもどおり、ごみは回収されていた。","ごみ集積所・午前","","","","","空の集積所を短く示す","朝の環境音を継続"
