"chapter_id","scene_id","subsection","sequence","record_type","speaker","delivery_mode","text","background","environment","bgm","sfx","time_cue","direction","audio_direction"
"CH05","Scene01","その頃、家の中で","1","direction","","","その頃――山荘から帰宅して二日後・夜","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","時間表示",""
"CH05","Scene01","その頃、家の中で","2","narration","","","古い便箋は、まだリビングの卓上に置かれていた。","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","卓上を示す",""
"CH05","Scene01","その頃、家の中で","3","narration","","","捨てたはずの便箋を前に、三人とも夕食の片づけへ戻れずにいた。","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","三人を表示",""
"CH05","Scene01","その頃、家の中で","4","dialogue","かなこ","","「まだ、そこに置くの？」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","便箋から距離を取る",""
"CH05","Scene01","その頃、家の中で","5","dialogue","かなえ","","「置きたいわけじゃないよ。でも、もう一度捨てる前に確かめたいの」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","かなこへ向く",""
"CH05","Scene01","その頃、家の中で","6","dialogue","和彦","","「何を？」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","卓上を見る",""
"CH05","Scene01","その頃、家の中で","7","dialogue","かなえ","","「同じ便箋なのか。最初から何か書いてあったのか」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","便箋には触れない",""
"CH05","Scene01","その頃、家の中で","8","dialogue","和彦","","「山荘じゃ、そこまで見なかったな」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","思い返す",""
"CH05","Scene01","その頃、家の中で","9","dialogue","かなこ","","「私も見る」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","一歩近づこうとする",""
"CH05","Scene01","その頃、家の中で","10","dialogue","かなえ","","「見るだけ。触らないでね」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","穏やかに止める",""
"CH05","Scene01","その頃、家の中で","11","dialogue","かなこ","","「分かってる」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","少し不満そうに止まる",""
"CH05","Scene01","その頃、家の中で","12","dialogue","かなえ","","「先に写真を撮ろう。折れ方も、便箋の重なり方も」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","携帯電話を構える",""
"CH05","Scene01","その頃、家の中で","13","dialogue","和彦","","「分かった。俺が開く」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","和彦だけが手を伸ばす",""
"CH05","Scene01","その頃、家の中で","14","narration","","","かなえが便箋の束を撮影し、和彦が端を持って一枚目を開いた。","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","撮影後に便箋へ寄る",""
"CH05","Scene02","便箋に残った文章","1","narration","","","黄ばんだ便箋の中央に、古い文字が一行だけ残っていた。","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","便箋を表示",""
"CH05","Scene02","便箋に残った文章","2","document","","","川辺で、白い服を着た髪の長い女性を見た。","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","文章を独立表示",""
"CH05","Scene02","便箋に残った文章","3","narration","","","和彦の指が、便箋の端で止まった。","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","短い間",""
"CH05","Scene02","便箋に残った文章","4","dialogue","かなえ","","「……川で、あなたが見た人と似てる」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","和彦を見る",""
"CH05","Scene02","便箋に残った文章","5","dialogue","和彦","","「服と髪は」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","便箋から目を離さない",""
"CH05","Scene02","便箋に残った文章","6","dialogue","和彦","","「でも、顔も年も分からなかった。同じ人だとは言えないよ」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","言い切らない",""
"CH05","Scene02","便箋に残った文章","7","dialogue","かなこ","","「これ、誰が書いたの？」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","離れた位置から見る",""
"CH05","Scene02","便箋に残った文章","8","dialogue","かなえ","","「分からない。日付も名前もないね」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","便箋を確認する",""
"CH05","Scene02","便箋に残った文章","9","dialogue","かなこ","","「お父さんが見たより前？」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","両親を見る",""
"CH05","Scene02","便箋に残った文章","10","dialogue","和彦","","「便箋は古そうだけど、いつ書かれたかまでは分からない」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","慎重に答える",""
"CH05","Scene02","便箋に残った文章","11","narration","","","かなえは、山荘の川辺で聞いた和彦の話を思い返した。","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","川の回想画像は出さない",""
"CH05","Scene02","便箋に残った文章","12","dialogue","かなえ","","「たまたま、同じような人を見たのかもしれない」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","自分にも言い聞かせる",""
"CH05","Scene02","便箋に残った文章","13","dialogue","和彦","","「この辺りに、そういう話があった可能性もある」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","現実的な余地を残す",""
"CH05","Scene02","便箋に残った文章","14","dialogue","かなこ","","「でも、その便箋も山荘にあったんでしょ」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","素直に疑問を返す",""
"CH05","Scene02","便箋に残った文章","15","narration","","","かなえと和彦は答えず、古い文章をもう一度見た。","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","二人の沈黙",""
"CH05","Scene02","便箋に残った文章","16","dialogue","かなえ","","「これも撮っておこう」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","便箋を撮影する",""
"CH05","Scene02","便箋に残った文章","17","narration","","","一致が意味を持つのかは分からない。それでも、見なかったことにはできなかった。","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","通常表示へ戻す",""
"CH05","Scene03","戻る場所","1","narration","","","和彦は便箋を透明な袋へ戻した。","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","袋を表示",""
"CH05","Scene03","戻る場所","2","dialogue","かなえ","","「便箋には何も書かないで。袋に日付だけお願い」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","袋を示す",""
"CH05","Scene03","戻る場所","3","dialogue","和彦","","「分かった」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","袋側へ日付を書く",""
"CH05","Scene03","戻る場所","4","narration","","","和彦は袋の口を閉じ、その上からテープを貼った。","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","封を示す",""
"CH05","Scene03","戻る場所","5","dialogue","かなこ","","「どこに置くの？」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","戸棚を見る",""
"CH05","Scene03","戻る場所","6","dialogue","かなえ","","「お父さんの物から離れたところ。三人で見ておこう」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","リビングの戸棚を示す",""
"CH05","Scene03","戻る場所","7","narration","","","三人が見ている前で、和彦は袋を戸棚の奥へ置き、扉を閉めた。","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","置き場所を確認",""
"CH05","Scene03","戻る場所","8","dialogue","和彦","","「これで、俺が動かしたとは言えないな」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","戸棚から離れる",""
"CH05","Scene03","戻る場所","9","dialogue","かなえ","","「明日の朝まで開けない」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING_NIGHT.png","","BGM_CH2_QUIET_ANXIETY","","night","扉を確認する",""
"CH05","Scene03","戻る場所","10","direction","","","翌朝","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_QUIET_ANXIETY","","morning","時間経過",""
"CH05","Scene03","戻る場所","11","narration","","","出勤の支度を始めた和彦が、仕事用鞄の前で足を止めた。","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_QUIET_ANXIETY","","morning","朝の室内",""
"CH05","Scene03","戻る場所","12","dialogue","和彦","","「かなえ」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_QUIET_ANXIETY","","morning","低い声で呼ぶ",""
"CH05","Scene03","戻る場所","13","narration","","","鞄の脇に、昨夜封をした透明な袋が置かれていた。","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_QUIET_ANXIETY","","morning","袋を表示",""
"CH05","Scene03","戻る場所","14","dialogue","かなえ","","「戸棚は？」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_QUIET_ANXIETY","","morning","すぐに振り返る",""
"CH05","Scene03","戻る場所","15","narration","","","戸棚の扉は閉じたままで、奥に置いたはずの場所だけが空いていた。","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_QUIET_ANXIETY","","morning","戸棚を示す",""
"CH05","Scene03","戻る場所","16","dialogue","和彦","","「袋も開いてない」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_QUIET_ANXIETY","","morning","封を確認する",""
"CH05","Scene03","戻る場所","17","dialogue","かなえ","","「昨日、三人で置いたよね」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_QUIET_ANXIETY","","morning","確認を求める",""
"CH05","Scene03","戻る場所","18","dialogue","かなこ","","「見てた。お父さんの鞄のところじゃなかった」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_QUIET_ANXIETY","","morning","廊下から答える",""
"CH05","Scene03","戻る場所","19","dialogue","かなえ","","「かなこ、そこからでいいよ。近づかないで」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_QUIET_ANXIETY","","morning","かなこを止める",""
"CH05","Scene03","戻る場所","20","dialogue","かなこ","","「近づいてない」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_QUIET_ANXIETY","","morning","その場に止まる",""
"CH05","Scene03","戻る場所","21","narration","","","捨てた後も、離して置いた後も、便箋は和彦の物のそばにあった。","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_QUIET_ANXIETY","","morning","これまでの位置を短く整理",""
"CH05","Scene03","戻る場所","22","dialogue","和彦","","「偶然で、ここまで同じ場所に来るのか」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_QUIET_ANXIETY","","morning","鞄と袋を見比べる",""
"CH05","Scene03","戻る場所","23","dialogue","かなえ","","「もう、置き忘れでは説明できない」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_QUIET_ANXIETY","","morning","初めて認める",""
"CH05","Scene04","消せない文字","1","narration","","","朝食後、かなこと距離を取らせてから、和彦は便箋を袋から出した。","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_QUIET_ANXIETY","","morning","リビングを表示",""
"CH05","Scene04","消せない文字","2","dialogue","和彦","","「あの文字が消えれば、ただの古い便箋に戻るかもしれない」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_QUIET_ANXIETY","","morning","消しゴムを持つ",""
"CH05","Scene04","消せない文字","3","dialogue","かなえ","","「少しだけ。変だと思ったら、すぐやめて」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_QUIET_ANXIETY","","morning","和彦の手元を見る",""
"CH05","Scene04","消せない文字","4","narration","","","和彦は古い文字の端へ消しゴムを当てた。","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_QUIET_ANXIETY","","morning","手元へ寄る",""
"CH05","Scene04","消せない文字","5","narration","","","便箋の表面に擦れた跡はついたが、文字は少しも薄くならなかった。","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_QUIET_ANXIETY","","morning","文字を表示",""
"CH05","Scene04","消せない文字","6","dialogue","和彦","","「消えない」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_QUIET_ANXIETY","","morning","手を止める",""
"CH05","Scene04","消せない文字","7","dialogue","かなえ","","「便箋だけ傷んでる」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_QUIET_ANXIETY","","morning","跡を見る",""
"CH05","Scene04","消せない文字","8","narration","","","和彦が修正テープを重ねると、白い帯の上へ元の文字がゆっくり浮かび直した。","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_QUIET_ANXIETY","","morning","強い怪異音は使わない",""
"CH05","Scene04","消せない文字","9","dialogue","和彦","","「……これは、普通じゃない」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_QUIET_ANXIETY","","morning","椅子から身を引く",""
"CH05","Scene04","消せない文字","10","dialogue","かなえ","","「もうやめて」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_QUIET_ANXIETY","","morning","すぐに止める",""
"CH05","Scene04","消せない文字","11","dialogue","和彦","","「破ったりはしない。これ以上は触らないよ」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_QUIET_ANXIETY","","morning","道具を置く",""
"CH05","Scene04","消せない文字","12","narration","","","古い文章は、何もされなかったように便箋の中央へ残っていた。","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_QUIET_ANXIETY","","morning","便箋を表示",""
"CH05","Scene04","消せない文字","13","dialogue","かなえ","","「消せないなら、直すことはできるのかな」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_QUIET_ANXIETY","","morning","疑問を口にする",""
"CH05","Scene04","消せない文字","14","dialogue","和彦","","「試すなら、今ので最後にしよう」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_QUIET_ANXIETY","","morning","かなえを見て答える",""
"CH05","Scene05","会社の余白","1","narration","","","和彦はペンを手近なメモへ走らせ、インクが出ることを確かめた。","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_EVERYDAY_UNEASE","","morning","手近なメモを表示",""
"CH05","Scene05","会社の余白","2","dialogue","かなえ","","「元の文章を変えるだけ。新しいことは書かないで」","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_EVERYDAY_UNEASE","","morning","念を押す",""
"CH05","Scene05","会社の余白","3","narration","","","和彦は返事をせず、便箋を袋ごと仕事用の鞄へ入れ、そのまま出社した。","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_EVERYDAY_UNEASE","","morning","鞄を閉じ、会社へ転換",""
"CH05","Scene05","会社の余白","4","narration","","","かなえとかなこへ、これ以上余計な心配をかけたくなかった。","assets/images/backgrounds/BG_CH2_KANAE_HOME_LIVING_DINING.png","","BGM_CH2_EVERYDAY_UNEASE","","morning","和彦の視点へ移行",""
"CH05","Scene05","会社の余白","5","direction","","","同日・会社","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","会社デスク背景へ切替。会社名は出さない",""
"CH05","Scene05","会社の余白","6","narration","","","周囲に人がいないことを確かめてから、和彦は自分のデスクで鞄を開いた。","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","人物や部署は追加しない",""
"CH05","Scene05","会社の余白","7","narration","","","透明な袋から便箋を取り出す。家を出た時と同じ古い文章が、便箋の中央に残っていた。","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","便箋を表示",""
"CH05","Scene05","会社の余白","8","narration","","","気味が悪くないわけではない。それでも、このまま家へ持ち帰るだけの方が怖かった。","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","手を止める短い間",""
"CH05","Scene05","会社の余白","9","dialogue","和彦","","「これだけ確かめたら、しまう」","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","自分へ言い聞かせる",""
"CH05","Scene05","会社の余白","10","narration","","","誰かの身に起きることではなく、便箋そのものへ向けた文章なら試せる。和彦はそう考えた。","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","余白へ視線を移す",""
"CH05","Scene05","会社の余白","11","narration","","","和彦は古い文章の下へ、短い命令を書き足した。","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","加筆前の間",""
"CH05","Scene05","会社の余白","12","document","","","この便箋にすでに書かれている内容を消す。","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","最初の加筆として表示",""
"CH05","Scene05","会社の余白","13","narration","","","和彦はペンを置き、古い文章を見つめた。","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","便箋を固定",""
"CH05","Scene05","会社の余白","14","narration","","","どれだけ待っても、便箋にもともと書かれていた文章は消えなかった。","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","古い文章を残す",""
"CH05","Scene05","会社の余白","15","dialogue","和彦","","「……消えない」","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","小さく漏らす",""
"CH05","Scene05","会社の余白","16","narration","","","書き足した命令も消えず、古い文章の下にそのまま残っていた。","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","二つの文章を示す",""
"CH05","Scene05","会社の余白","17","dialogue","和彦","","「書けば、何でも起きるわけじゃないのか」","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","断定せず考える",""
"CH05","Scene05","会社の余白","18","narration","","","成立しなかった理由は分からない。ただ、何か条件があることだけは感じられた。","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","完全なルール理解には進めない",""
"CH05","Scene05","会社の余白","19","narration","","","もともと書かれていた文章に手を加えられないなら、次は便箋そのものではなく、小さな出来事で確かめるしかない。","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","次の検証方向を示す",""
"CH05","Scene06","小さな出来事","1","direction","","","同日・会社","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","Scene05から継続",""
"CH05","Scene06","小さな出来事","2","narration","","","和彦はもう一度、周囲に人がいないことを確かめた。","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","無人の範囲だけを示す",""
"CH05","Scene06","小さな出来事","3","narration","","","人を試すことも、事故やけがにつながることも書けない。かなえとかなこを巻き込むつもりはなかった。","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","家族への配慮を示す",""
"CH05","Scene06","小さな出来事","4","narration","","","和彦は机の上のボールペンを見て、便箋の余白へ次の文章を書いた。","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","加筆表示前の間",""
"CH05","Scene06","小さな出来事","5","document","","","午後三時、机の上のボールペンが床に落ちる。","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","検証用の文章を表示",""
"CH05","Scene06","小さな出来事","6","narration","","","新しい文章は、最初の命令の下へ何の抵抗もなく書き足された。","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","三つの文章を示す",""
"CH05","Scene06","小さな出来事","7","dialogue","和彦","","「これなら、誰も巻き込まない」","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","不安を残した独り言",""
