"chapter_id","scene_id","subsection","sequence","record_type","speaker","delivery_mode","text","background","environment","bgm","sfx","time_cue","direction","audio_direction"
"CH06","Scene01","残った結果","1","direction","","","第六章　山荘の過去","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","章題を表示","BGM_CH2_EVERYDAY_UNEASE.mp3を開始"
"CH06","Scene01","残った結果","2","narration","","","それから数日後。","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","日中の会社を表示","継続"
"CH06","Scene01","残った結果","3","narration","","","以前の飲み会で、同僚の男性が女性社員への好意を和彦に打ち明けたことがあった。","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","短い回想へ","継続"
"CH06","Scene01","残った結果","4","dialogue","同僚男性","","「あの人のことが、前から気になってたんです」","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","過去の会話断片","継続"
"CH06","Scene01","残った結果","5","narration","","","和彦は後日、女性社員へその気持ちをそっと伝えた。","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","回想を継続","継続"
"CH06","Scene01","残った結果","6","narration","","","二人が交際を始めたと聞いた時、和彦は自分のことのようにほっとした。","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","回想を終える","継続"
"CH06","Scene01","残った結果","7","narration","","","その同僚が今、人気のない休憩スペースで俯いていた。","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","現在へ戻す","継続"
"CH06","Scene01","残った結果","8","dialogue","和彦","","「何があった」","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","声を抑える","継続"
"CH06","Scene01","残った結果","9","dialogue","同僚男性","","「あの上司だよ。彼女にしつこく迫って…交際を迫ったんだ」","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","怒りを抑えきれない","継続"
"CH06","Scene01","残った結果","10","dialogue","和彦","","「本人から聞いたのか」","assets/images/backgrounds/BG_CH5_KAZUHIKO_OFFICE_DESK_DAY.png","","BGM_CH2_EVERYDAY_UNEASE","","day","断定せず確かめる","継続"
